序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
117,AGWC00-0130,2,G,0,,1,2.64,,4
118,EGZY00-0140,2,G,0,,1,1.86,,
119,EGYY00-0150,2,G,0,,1,2.04,,
120,ENWCB1-0390,2,N,3,,2,1.93,,4
121,ENHSB1-0380,2,N,3,,1,2.42,,
122,ENHSB1-0430,2,N,3,,1,2.39,,
123,ENHSB1-0310,2,N,3,,1,1.83,,
124,ENHSB1-0320,2,N,3,,1,1.91,,
125,ENHSB1-0330,2,N,3,,1,2.38,,
126,ENHSB1-0340,2,N,3,,1,1.73,,
127,ENWCB1-0370,2,N,3,,1,2.52,,4
128,ENQSB1-0360,2,N,3,,1,2.33,,6
129,ENHDB1-0300,2,N,3,,1,1.64,,
130,ENHDB1-0290,2,N,3,,1,2.05,,
131,ENHDB1-0280,2,N,3,,1,1.47,,
132,ENHDB1-0270,2,N,3,,1,1.97,,
133,ENHDB1-0260,2,N,3,,1,2.06,,
134,ENHDB1-0250,2,N,3,,1,1.88,,
135,ENHDB1-0240,2,N,3,,1,1.6,,
136,ENHDB1-0230,2,N,3,,1,0.95,,
137,ENHDB1-0220,2,N,3,,1,2.17,,
138,ENWCB1-0350,2,N,3,,5,1.23,,4
139,ENHDB1-0210,2,N,3,,1,1.64,,
140,ENHDB1-0200,2,N,3,,1,1.64,,
141,ENHDB1-0190,2,N,3,,1,1.5,,
142,ENHDB1-0180,2,N,3,,1,1.8,,
143,ENHSB1-0170,2,N,3,,1,1.68,,
144,ENHSB1-0440,2,N,3,,1,2.36,,
145,ENHSB1-0420,2,N,3,,1,2.14,,
146,ENHSB1-0410,2,N,3,,1,1.84,,
147,ENHSB1-0400,2,N,3,,1,2.37,,
148,ARWB00-0010,2,R,1,,2,2.02,,
149,ARWB00-0020,2,R,1,,2,1.7,,
150,ARWB00-0030,2,R,1,,2,2.37,,
151,ARWB00-0040,2,R,1,,2,1.66,,
152,ARWB00-0060,2,R,1,,2,2.31,,
153,ARWB00-0070,2,R,1,,2,2.49,,
154,ARWB00-0090,2,R,1,,2,1.33,,
155,ARWB00-0100,2,R,1,,2,1.44,,
156,ARWB00-0110,2,R,1,,2,1.25,,
157,ARWB00-0120,2,R,1,,2,1.39,,
158,ARWB00-0130,2,R,1,,2,1.33,,
159,ARWB00-0140,2,R,1,,2,1.1,,
160,A-3,1,,-1,A-2,0,0.0,,
161,AJYYA2-0320,2,J,0,,2,0.74,,
162,RJND-N26817-2,2,J,0,AJYYA2-0320,1,0.75,,
163,AJYYA3-0330,2,J,0,RJND-N26817-2,2,3.17,,
164,AJZYA4-0340,2,J,0,,2,1.82,,
165,RJND-N81617-51,2,J,0,RJND-N41304-8,2,1.15,,
166,RJND-N41304-8,2,J,0,RJND-N22972-1,2,0.92,,
167,RJND-N22972-1,2,J,0,AJZYA4-0340,5,1.13,,
168,AJZYA5-0350,2,J,0,RJND-N81617-51,2,0.81,,
169,AJYY00-0380,2,J,0,,2,1.18,,
170,AJZY00-0390,2,J,0,,2,0.86,,
171,RJND-N98039-43,2,J,0,RJND-N17804-36,2,2.03,,
172,RJND-N17804-36,2,J,0,AJYYA3-0330,2,4.25,,
173,AJYYB1-0400,2,J,0,RJND-N98039-43,2,1.03,,
174,RJND-N74901-20,2,J,0,AJZYA4-0340,2,2.02,,
175,AJYYB2-0410,2,J,0,RJND-N74901-20,2,1.1,,
176,RJND-N92198-59,2,J,0,RJND-N31302-33,2,0.61,,
177,RJND-N31302-33,2,J,0,AJZYA5-0350,2,1.41,,
178,AJZYB3-0420,2,J,0,RJND-N92198-59,2,1.22,,
179,AJZYB4-0430,2,J,0,,2,1.23,,
180,AJYY00-0440,2,J,0,AJYYB2-0410,2,0.65,,
181,RJND-N61212-39,2,J,0,RJND-N53837-24,2,1.37,,
182,RJND-N53837-24,2,J,0,AJZYB3-0420,1,0.62,,
183,AJZY00-0450,2,J,0,RJND-N61212-39,2,1.1,,
184,AJCP00-0460,2,J,0,,2,1.09,,
185,AJCP00-0470,2,J,0,,2,1.34,,
186,AJCP00-0480,2,J,0,,2,1.49,,
187,AJYYC1-0490,2,J,0,,2,0.48,,
188,AJYYC2-0500,2,J,0,AJYYC1-0490,2,0.72,,
189,AJCPD1-0520,2,J,0,AJCP00-0480,2,2.27,,
190,RJND-N48786-35,2,J,0,AJCP00-0460,2,1.35,,
191,AJCPD2-0530,2,J,0,RJND-N48786-35,2,3.09,,
192,RJND-N94020-23,2,J,0,AJCPD1-0520,1,2.78,,
193,AJCPD3-0540,2,J,0,RJND-N94020-23,2,3.23,,
194,RJND-N35761-11,2,J,0,AJCPD1-0520,2,1.17,,
195,AJCPD4-0550,2,J,0,RJND-N35761-11,2,6.7,,
196,AJWC00-0660,2,J,0,,2,2.13,,4
197,AJWC00-0670,2,J,0,,2,0.49,,4
198,AJCP00-0770,2,J,0,,2,1.11,,
199,A-4,1,,-1,A-2,0,0.0,,
200,DFQJB1-0340,2,F,4,,2,1.17,,
201,DFQJB1-0350,2,F,4,,2,1.27,,
202,DFQJB2-0370,2,F,4,,2,0.64,,
203,DFQJB2-0380,2,F,4,,2,0.93,,
204,DFQJB2-0390,2,F,4,,2,0.52,,
205,DFQJB2-0400,2,F,4,,2,0.74,,
206,DFQJC1-0410,2,F,4,,2,1.81,,
207,DFQJC2-0420,2,F,4,,2,0.92,,
208,DFZY00-0430,2,F,4,,2,1.45,,
209,DFZY00-0440,2,F,4,,2,1.38,,
210,DFYY00-0450,2,F,4,,2,1.5,,
211,DFYY00-0460,2,F,4,,2,1.51,,
212,DFZG00-0470,2,F,4,,2,1.87,,
213,DFQS00-0480,2,F,4,,2,1.22,,6
214,BMYY00-0030,2,M,0,,2,3.25,,
215,BMYY00-0121,2,M,0,,2,12.49,,
216,BMZY00-0130,2,M,0,,2,12.38,,
217,DFZY00-3090,2,F,4,,2,0.44,,
218,DFZY00-3100,2,F,4,,2,0.35,,
219,BMZY00-0300,2,M,0,"DFZY00-3090,DFZY00-3100",2,1.35,,
220,DFYY00-3110,2,F,4,,2,0.61,,
221,DFYY00-3120,2,F,4,,2,0.78,,
222,RFND-N77689-40,2,F,4,DFYY00-3120,2,0.69,,
223,BMYY00-0311,2,M,0,"DFYY00-3110,RFND-N77689-40",2,1.04,,
224,BMZY00-0410,2,M,0,,2,1.8,,
225,BMYY00-0420,2,M,0,,2,2.89,,
226,BMYY00-0430,2,M,0,,2,2.41,,
227,DMZY00-0760,2,M,0,,2,1.55,,
228,DMYY00-0770,2,M,0,,2,1.45,,
229,FMQJ00-2540,2,M,0,,2,3.27,,
230,AYQJ00-0130,2,Y,3,,2,24.83,,
231,AYQJ00-0140,2,Y,3,,2,21.39,,
232,A-5,1,,-1,"A-3,A-4",0,0.0,,
233,DFQJA3-0860,2,F,4,,2,0.78,,
234,DFQJA3-0870,2,F,4,,2,0.98,,
235,DFQJA3-0880,2,F,4,,2,1.05,,
236,RFND-N84041-50,2,F,4,DFQJA3-0970,2,1.05,,
237,DFZYA4-1210,2,F,4,RFND-N84041-50,2,2.35,,
238,RFND-N67565-48,2,F,4,RFND-N86332-26,2,0.52,,
239,RFND-N86332-26,2,F,4,DFQJA3-0980,2,0.65,,
240,DFZYA4-1220,2,F,4,"DFQJA3-0860,RFND-N67565-48",2,3.96,,
241,RFND-N39567-56,2,F,4,RFND-N36141-27,2,1.17,,
242,RFND-N36141-27,2,F,4,DFQJA3-0870,2,0.99,,
243,DFYYA4-1230,2,F,4,"DFQJA3-0990,RFND-N39567-56",2,4.49,,
244,RFND-N7501-31,2,F,4,RFND-N21200-25,2,1.02,,
245,RFND-N21200-25,2,F,4,DFQJA3-0880,2,0.93,,
246,DFYYA4-1240,2,F,4,"DFQJA3-1000,RFND-N7501-31",2,3.97,,
247,DFQJA3-0970,2,F,4,,2,0.62,,
248,DFQJA3-0980,2,F,4,,2,0.88,,
249,DFQJA3-0990,2,F,4,,2,1.22,,
250,DFQJA3-1000,2,F,4,,2,0.86,,
251,A-6,1,,-1,"A-3,A-4",0,0.0,,
252,AAQX00-0120,2,A,0,,1,1.5,,4
253,AAQS00-0130,2,A,0,,1,9.87,,6
254,AAQX00-0140,2,A,0,,2,11.48,,4
255,AFHS00-0010,2,F,4,,1,2.55,,
256,AFHS00-0020,2,F,4,,1,3.13,,
257,FFHS00-3530,2,F,4,,2,1.29,,
258,AKHD00-0080,2,K,4,,1,6.57,,
259,AKHD00-0090,2,K,4,,1,6.0,,
260,AKHS00-0100,2,K,4,,2,1.69,,
261,AKHS00-0110,2,K,4,,2,3.61,,
262,AKWC00-0120,2,K,4,,2,2.43,,4
263,AWHS00-0060,2,W,1,,1,2.08,,
264,ADHD00-0060,2,D,1,,1,3.63,,
265,RBND-N31686-49,2,B,2,ABHS00-1610,1,2.12,,
266,ADHD00-0700,2,D,1,RBND-N31686-49,1,3.98,,
267,ADHD00-0080,2,D,1,,1,3.27,,
268,AYQQ00-0100,2,Y,3,,1,8.85,,2
269,AYZQ00-0110,2,Y,3,,1,4.75,,
270,ACWB00-0170,2,C,4,,2,3.34,,
271,RCND-N81471-55,2,C,4,RCND-N62081-44,2,2.27,,
272,RCND-N62081-44,2,C,4,RCND-N35609-34,2,1.6,,
273,RCND-N35609-34,2,C,4,ACWB00-0170,2,2.99,,
274,ACWC00-0180,2,C,4,RCND-N81471-55,1,1.73,,4
275,ACWC00-0190,2,C,4,,1,1.44,,4
276,ACWC00-0200,2,C,4,,1,2.23,,4
277,ABWC00-0120,2,B,2,,1,4.07,,4
278,ABWC00-0130,2,B,2,,1,3.61,,4
279,ABWC00-0140,2,B,2,,1,3.62,,4
280,ABWC00-0150,2,B,2,,1,4.05,,4
281,ABWC00-0160,2,B,2,,1,4.12,,4
282,ABWC00-0170,2,B,2,,1,2.82,,4
283,ABWC00-0180,2,B,2,,1,3.4,,4
284,ABWCB1-0100,2,B,2,,2,0.98,,4
285,ABWCB1-0110,2,B,2,,2,0.9,,4
286,ABWCB2-0190,2,B,2,ABWCB1-0100,2,3.38,,4
287,RBND-N6025-57,2,B,2,ABWCB1-0110,1,1.19,,
288,ABWCB2-0200,2,B,2,RBND-N6025-57,2,4.37,,4
289,RBND-N84450-46,2,B,2,ABWCB2-0190,2,5.19,,
290,ABWCB3-0210,2,B,2,RBND-N84450-46,2,1.17,,4
291,ABWCB3-0220,2,B,2,ABWCB2-0200,2,0.51,,4
292,ABHS00-1610,2,B,2,,2,2.97,,
293,AEHS00-0140,2,E,4,,1,3.36,,
294,DXHS00-0060,2,X,2,,2,0.93,,
295,ENQSA2-0150,2,N,3,,2,1.81,,6
296,ENQSA2-0140,2,N,3,,2,1.89,,6
297,ENQSA2-0130,2,N,3,,2,2.41,,6
298,ENQSA2-0120,2,N,3,,2,1.77,,6
299,ENQSA2-0110,2,N,3,,2,2.29,,6
300,ENQSA2-0100,2,N,3,,2,1.8,,6
301,ENHSA2-0160,2,N,3,,2,2.37,,
302,ARHS00-0150,2,R,1,,1,2.62,,
303,B,1,,-1,A,0,0.0,,
304,B-1,1,,-1,,0,0.0,,
305,DMZG00-1790,2,M,0,,2,0.74,,
306,DMYG00-2070,2,M,0,,2,2.1,,
307,DMYG00-2080,2,M,0,,2,0.99,,
308,DMYG00-1760,2,M,0,,2,1.12,,
309,BMZY00-0260,2,M,0,,2,2.3,,
310,BMYY00-0280,2,M,0,,2,2.16,,
311,BMYY00-0290,2,M,0,,2,1.79,,
312,BMZY00-0240,2,M,0,,2,1.98,,
313,BMYY00-0250,2,M,0,,2,2.01,,
314,B-2,1,,-1,B-1,0,0.0,,
315,CMYG00-0620,2,M,0,,2,12.77,,
316,CMQQ00-0630,2,M,0,,2,5.53,,2
317,DMZY00-0780,2,M,0,,2,9.63,,
318,DMZY00-0790,2,M,0,,2,12.57,,
319,DMYY00-0800,2,M,0,,2,12.28,,
320,DMYY00-0810,2,M,0,,2,17.84,,
321,B-3,1,,-1,B-2,0,0.0,,
322,DMZG00-1720,2,M,0,,2,19.45,,
323,DMYG00-1730,2,M,0,,2,31.32,,
324,DMYG00-1740,2,M,0,,2,6.27,,
325,DMYG00-1750,2,M,0,,2,4.51,,
326,FMQQ00-3170,2,M,0,,2,5.75,,2
327,FMQQ00-3180,2,M,0,,2,0.66,,2
328,B-4,1,,-1,,0,0.0,,
329,BAHS00-0160,2,A,0,,2,1.55,,
330,BAQX00-0150,2,A,0,,2,1.15,,4
331,BAHS00-0170,2,A,0,,2,1.48,,
332,BAHS00-0180,2,A,0,,2,1.5,,
333,BAHS00-0190,2,A,0,,2,1.35,,
334,B-5,1,,-1,B-4,0,0.0,,
335,CAHS00-0320,2,A,0,,2,1.23,,
336,CAHS00-0330,2,A,0,,2,2.18,,
337,CAHS00-0340,2,A,0,,2,1.67,,
338,CAHS00-0350,2,A,0,,2,2.0,,
339,CAHS00-0370,2,A,0,,2,2.04,,
340,CAHS00-0380,2,A,0,,2,1.54,,
341,CAHS00-0390,2,A,0,,2,1.84,,
342,CAHX00-0410,2,A,0,,2,4.35,,4
343,CAWC00-0420,2,A,0,,2,2.57,,4
344,CAHS00-0360,2,A,0,,2,1.02,,
345,CAHS00-0400,2,A,0,,2,1.5,,
346,B-6,1,,-1,B-5,0,0.0,,
347,CAHS00-0640,2,A,0,,2,1.54,,
348,CAHS00-0650,2,A,0,,2,1.67,,
349,CAHS00-0660,2,A,0,,2,2.27,,
350,CAHX00-0670,2,A,0,,2,2.07,,4
351,CAHX00-0680,2,A,0,,2,3.88,,4
352,CAWC00-0690,2,A,0,,2,3.19,,4
353,B-7,1,,-1,,0,0.0,,
354,CKZY00-0210,2,K,4,,2,9.56,,
355,CKZY00-0220,2,K,4,,2,8.42,,
356,CKZQ00-0240,2,K,4,,2,9.18,,
357,CKWC00-1380,2,K,4,,1,14.56,,4
358,FKQJ00-0010,2,K,4,,2,13.41,,
359,B-8,1,,-1,B-7,0,0.0,,
360,CKWC00-1390,2,K,4,,2,7.99,,4
361,CKQS00-0250,2,K,4,,2,6.09,,6
362,CKQS00-0260,2,K,4,,2,11.5,,6
363,CKQX00-0270,2,K,4,,2,10.85,,4
364,CKHX00-0280,2,K,4,,2,19.72,,4
365,CKHX00-0290,2,K,4,,2,15.39,,4
366,CKHX00-0300,2,K,4,,2,18.9,,4
367,CKHX00-0310,2,K,4,,2,21.43,,4
368,CKZY00-0330,2,K,4,,2,9.64,,
369,CKZY00-0340,2,K,4,,2,6.01,,
370,CKYY00-0350,2,K,4,,2,7.63,,
371,CKZQ00-0360,2,K,4,,2,7.75,,
372,DKWCE2-0720,2,K,4,CKQS00-0250,2,6.3,,4
373,DKZQF2-0670,2,K,4,CKQS00-0250,2,2.54,,
374,DKQXB2-0500,2,K,4,CKQS00-0250,2,5.86,,4
375,RKND-N99943-22,2,K,4,RKND-N74407-18,2,10.51,,
376,RKND-N74407-18,2,K,4,CKQS00-0250,2,12.35,,
377,DKQS00-0450,2,K,4,RKND-N99943-22,2,4.23,,6
378,DKQS00-0460,2,K,4,CKQS00-0250,2,5.64,,6
379,RKND-N50606-53,2,K,4,RKND-N46996-29,2,14.04,,
380,RKND-N46996-29,2,K,4,CKQS00-0250,2,10.24,,
381,DKQS00-0470,2,K,4,RKND-N50606-53,2,2.34,,6
382,RKND-N85533-17,2,K,4,RKND-N56027-9,2,4.99,,
383,RKND-N56027-9,2,K,4,RKND-N85492-0,2,8.18,,
384,RKND-N85492-0,2,K,4,CKQS00-0250,2,11.52,,
385,DKQS00-1430,2,K,4,RKND-N85533-17,2,2.18,,6
386,DKQS00-0430,2,K,4,CKQS00-0250,2,3.71,,6
387,RKND-N6375-58,2,K,4,CKQS00-0250,2,9.08,,
388,DKQXA2-0380,2,K,4,RKND-N6375-58,2,5.43,,4
389,B-9,1,,-1,,0,0.0,,
390,CWQJ00-1690,2,W,1,,2,3.13,,
391,CWQJ00-1700,2,W,1,,2,2.81,,
392,CWQJ00-1790,2,W,1,,2,2.32,,
393,CWQJ00-1800,2,W,1,,2,2.39,,
394,CWQJ00-1810,2,W,1,,2,2.52,,
395,CWQJ00-1820,2,W,1,,2,2.09,,
396,CWQJ00-1910,2,W,1,,2,3.14,,
397,CWQJ00-1920,2,W,1,,2,3.52,,
398,B-10,1,,-1,B-9,0,0.0,,
399,CWHS00-2130,2,W,1,,2,5.49,,
400,CWWC00-2140,2,W,1,,2,4.12,,4
401,CWWC00-2150,2,W,1,,2,3.94,,4
402,ABWB00-1790,2,B,2,,1,2.07,,
403,CWCP00-2160,2,W,1,ABWB00-1790,2,7.08,,4
404,CWQJ00-1710,2,W,1,,2,1.12,,
405,B-11,1,,-1,,0,0.0,,
406,CDQJ00-0400,2,D,1,,2,5.31,,
407,CDQJ00-0410,2,D,1,,2,8.48,,
408,CDQJ00-0420,2,D,1,,2,1.58,,
409,CDHS00-0440,2,D,1,,2,2.52,,
410,CDHS00-0450,2,D,1,,2,2.24,,
411,B-12,1,,-1,B-11,0,0.0,,
412,CDHS00-0540,2,D,1,,2,4.23,,
413,CDHS00-0550,2,D,1,,2,3.73,,
414,CDHS00-0560,2,D,1,,2,4.5,,
415,CDHD00-0570,2,D,1,,2,3.82,,
416,CDWC00-0580,2,D,1,,2,3.88,,4
417,CDWC00-0590,2,D,1,,2,4.33,,4
418,CDWC00-0600,2,D,1,,2,1.67,,4
419,CDWC00-0610,2,D,1,,2,4.21,,4
420,CDHX00-0620,2,D,1,,2,4.74,,4
421,CDWC00-0630,2,D,1,,2,3.58,,4
422,CDHX00-0650,2,D,1,,2,5.52,,4
423,CDHX00-0660,2,D,1,,2,3.55,,4
424,CDHS00-0670,2,D,1,,2,6.3,,
425,CDHD00-0680,2,D,1,,2,3.49,,
426,CDHD00-0690,2,D,1,,2,3.37,,
427,B-13,1,,-1,,0,0.0,,
428,ABYYC1-0230,2,B,2,,1,10.45,,
429,ABZYC1-0240,2,B,2,,1,6.06,,
430,ABYYC1-0250,2,B,2,,1,8.66,,
431,ABZYC1-0260,2,B,2,,1,9.32,,
432,ABYYD1-0270,2,B,2,,1,7.43,,
433,ABZYD1-0280,2,B,2,,1,7.66,,
434,ABYYD1-0290,2,B,2,,1,10.49,,
435,ABZYD1-0300,2,B,2,,1,11.41,,
436,ABYYC2-0450,2,B,2,,2,1.38,,
437,ABZYC2-0460,2,B,2,,1,1.36,,
438,ABYYE3-0470,2,B,2,,1,1.25,,
439,ABZYE3-0480,2,B,2,,2,2.29,,
440,ABYYE3-0490,2,B,2,,1,2.1,,
441,ABZYE3-0500,2,B,2,,1,1.45,,
442,ABCPG1-0950,2,B,2,,2,8.49,,
443,RBND-N52290-19,2,B,2,ABCPG1-0950,1,6.61,,
444,ABCPG2-0960,2,B,2,RBND-N52290-19,2,8.96,,
445,ABCPG2-0970,2,B,2,ABCPG1-0950,2,6.8,,
446,ABCPG3-0980,2,B,2,"ABCPG2-0960,ABCPG2-0970",2,5.85,,
447,ABCPG3-0990,2,B,2,ABCPG2-0960,2,3.38,,
448,ABCPG3-1000,2,B,2,ABCPG2-0970,2,5.36,,
449,ABCPH1-1020,2,B,2,,2,1.29,,
450,ABCPH1-1030,2,B,2,,2,1.76,,
451,RBND-N34750-41,2,B,2,ABCPH1-1020,2,1.91,,
452,ABCPH2-1040,2,B,2,RBND-N34750-41,2,1.65,,
453,ABCPH2-1050,2,B,2,ABCPH1-1030,2,1.16,,
454,RBND-N67926-15,2,B,2,ABCPH1-1020,2,1.52,,
455,ABCPH3-1060,2,B,2,RBND-N67926-15,2,1.02,,
456,ABCPH3-1070,2,B,2,ABCPH1-1030,2,0.93,,
457,RBND-N1607-4,2,B,2,ABCPH2-1040,2,1.78,,
458,ABCPH4-1081,2,B,2,RBND-N1607-4,2,3.69,,
459,RBND-N98602-16,2,B,2,ABCPH2-1050,2,2.12,,
460,ABCPH4-1090,2,B,2,RBND-N98602-16,2,3.45,,
461,RBND-N47048-52,2,B,2,RBND-N43051-3,2,0.84,,
462,RBND-N43051-3,2,B,2,ABCPH3-1070,1,1.08,,
463,ABCPH4-1110,2,B,2,RBND-N47048-52,2,3.21,,
464,ABCPH5-1130,2,B,2,"ABCPH3-1060,ABCPH4-1090",2,2.38,,
465,RBND-N63050-30,2,B,2,RBND-N62829-10,2,3.86,,
466,RBND-N62829-10,2,B,2,ABCPH4-1081,2,3.3,,
467,ABCPH5-1140,2,B,2,"ABCPH3-1060,RBND-N63050-30",2,2.79,,
468,RBND-N53265-14,2,B,2,ABCPH3-1060,2,0.83,,
469,RBND-N11133-13,2,B,2,ABCPH4-1090,2,3.18,,
470,ABCPH5-1150,2,B,2,"RBND-N11133-13,RBND-N53265-14",2,3.65,,
471,RBND-N54554-37,2,B,2,ABCPH4-1081,2,3.62,,
472,ABCPH5-1160,2,B,2,"ABCPH3-1060,RBND-N54554-37",2,2.1,,
473,ABYYC3-0510,2,B,2,,2,3.31,,
474,ABZYC3-0520,2,B,2,,2,3.0,,
475,ABYYC3-0530,2,B,2,,2,4.64,,
476,ABZYC3-0540,2,B,2,,2,4.74,,
477,ABYYE4-0550,2,B,2,,2,3.57,,
478,ABZYE4-0560,2,B,2,,2,3.18,,
479,ABYYE4-0570,2,B,2,,2,3.74,,
480,ABZYE4-0580,2,B,2,,2,2.57,,
481,ABYYC4-0590,2,B,2,,2,2.1,,
